              sl2_s2  |       regionGas1_s2  |Region 1, Super Layer 2, Sector 2  |              2.522763*cm -4.4435357*cm 5.10402*cm  |         ordered: yxz 0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |4.24431*cm 0*rad 1.5707963*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 2 layer manual 1 wire manual 1 
              sl2_s3  |       regionGas1_s3  |Region 1, Super Layer 2, Sector 3  |              2.522763*cm -4.4435357*cm 5.10402*cm  |         ordered: yxz 0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |4.24431*cm 0*rad 1.5707963*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 2 layer manual 1 wire manual 1 
              sl2_s4  |       regionGas1_s4  |Region 1, Super Layer 2, Sector 4  |              2.522763*cm -4.4435357*cm 5.10402*cm  |         ordered: yxz 0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |4.24431*cm 0*rad 1.5707963*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 2 layer manual 1 wire manual 1 
              sl2_s5  |       regionGas1_s5  |Region 1, Super Layer 2, Sector 5  |              2.522763*cm -4.4435357*cm 5.10402*cm  |         ordered: yxz 0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |4.24431*cm 0*rad 1.5707963*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 2 layer manual 1 wire manual 1 
              sl2_s6  |       regionGas1_s6  |Region 1, Super Layer 2, Sector 6  |              2.522763*cm -4.4435357*cm 5.10402*cm  |         ordered: yxz 0*deg 0*deg -6*deg  |99aaff2   |              G4Trap  |4.24431*cm 0*rad 1.5707963*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad 79.1146423*cm 5.9330449*cm 88.2026064*cm 0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 2 layer manual 1 wire manual 1 
              sl3_s1  |       regionGas2_s1  |Region 2, Super Layer 3, Sector 1  |        -3.8245233*cm -6.1853835*cm -11.4381085*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |6.530013*cm 0*rad 1.5707963*rad 121.7205252*cm 5.3341535*cm 134.5142977*cm -0.1334891*rad 121.7205252*cm 5.3341535*cm 134.5142977*cm -0.1334891*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 3 layer manual 1 wire manual 1 
              sl3_s2  |       regionGas2_s2  |Region 2, Super Layer 3, Sector 2  |        -3.8245233*cm -6.1853835*cm -11.4381085*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |6.530013*cm 0*rad 1.5707963*rad 121.7205252*cm 5.3341535*cm 134.5142977*cm -0.1334891*rad 121.7205252*cm 5.3341535*cm 134.5142977*cm -0.1334891*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 3 layer manual 1 wire manual 1 
              sl3_s3  |       regionGas2_s3  |Region 2, Super Layer 3, Sector 3  |        -3.8245233*cm -6.1853835*cm -11.4381085*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |6.530013*cm 0*rad 1.5707963*rad 121.7205252*cm 5.3341535*cm 134.5142977*cm -0.1334891*rad 121.7205252*cm 5.3341535*cm 134.5142977*cm -0.1334891*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 3 layer manual 1 wire manual 1 
              sl3_s4  |       regionGas2_s4  |Region 2, Super Layer 3, Sector 4  |        -3.8245233*cm -6.1853835*cm -11.4381085*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |6.530013*cm 0*rad 1.5707963*rad 121.7205252*cm 5.3341535*cm 134.5142977*cm -0.1334891*rad 121.7205252*cm 5.3341535*cm 134.5142977*cm -0.1334891*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 3 layer manual 1 wire manual 1 
              sl3_s5  |       regionGas2_s5  |Region 2, Super Layer 3, Sector 5  |        -3.8245233*cm -6.1853835*cm -11.4381085*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |6.530013*cm 0*rad 1.5707963*rad 121.7205252*cm 5.3341535*cm 134.5142977*cm -0.1334891*rad 121.7205252*cm 5.3341535*cm 134.5142977*cm -0.1334891*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 3 layer manual 1 wire manual 1 
